carat,cut,color,clarity,depth,table,x,y,z,price,pred_m3,pred_final,desvio_pct
0.26,Ideal,H,VS1,61.9,55.0,4.1,4.13,2.55,448,421.37,453.53,-1.22
0.51,Ideal,H,SI1,59.8,57.0,5.22,5.25,3.13,1154,1204.84,1212.71,-4.84
0.7,Fair,G,SI1,66.0,53.0,5.53,5.47,3.63,1949,2031.07,1939.38,0.5
2.01,Ideal,I,SI1,62.9,55.0,8.07,8.0,5.05,12606,14131.41,14644.82,-13.92
0.3,Ideal,E,VVS1,62.5,57.0,4.27,4.3,2.68,862,823.28,840.01,2.62
1.5,Very Good,I,VS2,63.0,57.0,7.2,7.25,4.55,8662,9037.61,9227.25,-6.13
0.32,Ideal,H,VS2,62.0,55.0,4.39,4.42,2.73,505,581.17,520.99,-3.07
0.3,Ideal,H,SI1,62.6,53.1,4.27,4.3,2.69,475,443.59,438.34,8.36
0.42,Ideal,H,IF,61.9,56.0,4.79,4.81,2.97,1216,1410.47,1183.61,2.74
0.52,Premium,E,VS2,60.9,57.0,5.2,5.17,3.16,1815,1723.64,1713.12,5.95
0.32,Ideal,G,VS1,60.9,56.0,4.41,4.45,2.7,645,679.84,654.36,-1.43
0.34,Ideal,G,VVS2,61.9,57.0,4.48,4.44,2.76,995,874.06,947.14,5.05
0.4,Good,J,VS1,64.0,56.0,4.69,4.66,2.99,734,671.03,734.69,-0.09
1.8,Ideal,H,VS1,62.3,56.0,7.76,7.79,4.84,14968,16106.16,15419.45,-2.93
1.0,Fair,I,SI1,56.4,61.0,6.58,6.55,3.7,3920,3229.54,3548.15,10.48
2.02,Ideal,I,SI1,62.4,56.0,8.07,8.11,5.05,16128,14264.09,15424.4,4.56
0.78,Premium,H,SI1,60.0,60.0,5.93,5.92,3.62,2489,2621.97,2430.8,2.39
0.73,Ideal,F,VVS2,62.2,54.0,5.8,5.75,3.59,3193,3944.38,3498.94,-8.74
0.31,Ideal,D,VS2,62.7,57.0,4.3,4.34,2.71,734,704.49,724.88,1.26
1.0,Premium,E,SI2,62.8,59.0,6.34,6.3,3.97,4200,4310.54,4289.49,-2.09
0.26,Good,E,IF,59.6,61.0,4.13,4.16,2.47,597,639.63,532.62,12.09
1.04,Ideal,G,SI2,60.7,57.0,6.51,6.61,3.98,4375,4260.34,4512.7,-3.05
1.02,Fair,F,SI1,61.8,50.0,6.59,6.51,4.05,4227,4417.38,4829.39,-12.47
1.5,Ideal,I,VVS2,60.8,57.0,7.38,7.42,4.5,12148,11617.41,10908.06,11.37
1.07,Very Good,G,SI2,59.9,59.0,6.61,6.67,3.98,4201,4299.05,4358.4,-3.61
0.58,Ideal,E,VS2,61.9,57.0,5.33,5.37,3.31,1884,2165.32,1910.55,-1.39
0.33,Ideal,I,SI1,62.7,56.0,4.4,4.44,2.77,445,470.53,435.83,2.1
0.32,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,505,508.18,501.33,0.73
1.99,Good,J,VS2,62.9,61.0,7.91,8.06,4.99,13338,12843.07,13664.16,-2.39
1.53,Premium,G,VS1,62.6,60.0,7.39,7.3,4.6,14699,12654.56,13621.79,7.91
0.76,Ideal,E,VS2,61.3,56.0,5.79,5.83,3.56,3079,3602.17,3365.41,-8.51
1.02,Ideal,E,SI1,62.2,57.0,6.41,6.45,4.0,5553,5403.21,5432.47,2.22
0.62,Premium,J,VS2,61.2,59.0,5.42,5.52,3.35,1166,1518.15,1381.92,-15.62
1.27,Premium,G,SI1,61.4,59.0,6.94,6.98,4.27,7005,7165.08,7152.0,-2.06
0.7,Ideal,G,VVS2,61.0,56.0,5.74,5.77,3.51,3205,3404.9,3181.24,0.75
0.65,Ideal,F,SI1,61.4,58.0,5.56,5.5,3.39,1841,2222.21,1802.99,2.11
0.31,Ideal,H,VS2,61.6,55.0,4.34,4.38,2.69,595,547.44,505.76,17.64
0.8,Good,G,SI1,62.7,57.0,5.84,5.93,3.69,2810,2824.4,2787.5,0.81
0.77,Premium,F,VS2,62.1,59.0,5.85,5.87,3.64,3218,3468.22,3123.32,3.03
0.7,Premium,E,VS2,62.4,61.0,5.66,5.63,3.52,2818,3016.75,2705.99,4.14
0.41,Premium,G,VS2,61.6,58.0,4.78,4.73,2.93,1061,988.89,986.31,7.57
1.2,Premium,F,VS2,60.4,59.0,6.91,6.89,4.17,8796,7997.48,8609.13,2.17
1.54,Ideal,F,VS2,61.9,57.0,7.42,7.35,4.57,12978,13083.78,14475.31,-10.34
1.04,Premium,G,VS2,62.5,58.0,6.43,6.47,4.03,6177,5706.5,6146.02,0.5
1.02,Very Good,E,VS2,62.5,57.0,6.36,6.41,3.99,6816,5996.05,6532.68,4.34
0.41,Ideal,D,VS1,61.9,56.0,4.76,4.8,2.96,1427,1278.46,1085.24,31.49
0.7,Ideal,D,VS1,62.2,56.0,5.69,5.72,3.55,3535,3500.63,3449.03,2.49
0.9,Good,F,SI1,63.3,60.0,6.09,6.11,3.86,3950,3774.03,3850.68,2.58
0.26,Very Good,G,VVS1,61.4,56.0,4.13,4.15,2.54,545,539.83,532.92,2.27
0.56,Ideal,H,VVS1,62.1,54.0,5.28,5.31,3.29,1819,2193.37,1911.17,-4.82
0.34,Ideal,E,VS1,61.4,57.0,4.5,4.46,2.75,1033,849.02,952.37,8.47
0.28,Ideal,D,VVS1,61.7,57.0,4.2,4.23,2.6,608,765.23,748.42,-18.76
1.4,Premium,H,SI1,62.1,60.0,7.21,7.12,4.45,8133,7888.35,8086.14,0.58
1.91,Very Good,F,SI1,62.2,54.0,7.91,7.97,4.94,17509,16179.03,16854.28,3.88
0.76,Premium,H,VVS2,59.6,57.0,5.91,5.86,3.51,2792,3561.67,2794.95,-0.11
0.9,Good,F,SI2,65.9,60.0,5.98,6.01,3.95,3465,3196.33,3186.89,8.73
0.56,Very Good,E,VS1,62.7,60.0,5.25,5.28,3.3,1931,2078.09,1985.55,-2.75
1.01,Very Good,G,VS2,61.9,56.0,6.34,6.42,3.95,6105,5282.93,5954.02,2.54
0.9,Premium,D,SI1,62.8,59.0,6.18,6.14,3.87,4612,4417.64,4456.57,3.49
1.02,Very Good,D,SI2,61.3,62.0,6.42,6.46,3.95,3971,4632.72,4522.63,-12.2
0.9,Premium,D,SI2,62.7,59.0,6.2,6.14,3.87,3205,3741.41,3880.36,-17.4
1.12,Ideal,G,VVS2,62.1,54.8,6.64,6.66,4.13,8701,8250.37,8910.37,-2.35
0.33,Good,I,SI1,63.6,53.0,4.4,4.43,2.81,434,432.99,433.74,0.06
0.54,Very Good,D,SI2,63.2,57.0,5.19,5.16,3.27,1343,1398.7,1298.06,3.46
0.54,Ideal,F,SI1,61.5,55.0,5.25,5.28,3.24,1327,1567.34,1468.03,-9.61
1.02,Premium,H,SI1,62.9,59.0,6.41,6.38,4.02,4884,4345.24,4624.6,5.61
0.52,Very Good,G,VS1,62.4,60.0,5.11,5.12,3.19,1689,1622.28,1652.49,2.21
0.7,Premium,F,VS1,60.4,60.0,5.73,5.7,3.45,2879,3106.92,2612.36,10.21
0.9,Very Good,G,VS2,63.3,54.0,6.19,6.11,3.89,4309,4251.81,4094.92,5.23
0.31,Ideal,I,VS1,61.9,54.0,4.33,4.36,2.69,461,520.2,464.14,-0.68
1.21,Premium,G,VVS2,61.3,56.0,6.88,6.85,4.21,9779,9330.64,9358.32,4.5
1.52,Ideal,J,VS1,61.3,55.0,7.42,7.39,4.54,7740,9007.68,9003.62,-14.03
1.0,Premium,G,VS2,61.3,62.0,6.43,6.32,3.91,6048,5300.23,5375.51,12.51
1.21,Premium,G,VS2,63.0,58.0,6.72,6.67,4.22,7318,7588.99,7197.68,1.67
1.53,Very Good,H,SI1,61.0,61.0,7.4,7.45,4.53,10468,9121.07,10162.52,3.01
1.5,Good,I,VS2,61.9,60.0,7.25,7.28,4.5,8316,8695.03,8979.52,-7.39
0.41,Good,I,SI1,63.8,57.0,4.7,4.67,2.99,784,651.62,758.68,3.34
1.2,Very Good,G,IF,59.4,61.0,6.92,6.95,4.12,9987,10629.55,9664.72,3.33
2.03,Ideal,G,SI2,61.1,57.0,8.16,8.21,5.0,17182,15010.7,16282.0,5.53
0.59,Ideal,D,SI1,61.8,56.0,5.37,5.4,3.33,1816,2039.98,1814.17,0.1
0.91,Very Good,G,SI2,62.0,59.0,6.19,6.22,3.85,3238,3168.94,3628.51,-10.76
1.12,Premium,G,I1,60.3,60.0,6.75,6.69,4.05,3017,3098.03,3122.71,-3.39
0.54,Ideal,E,SI1,61.5,55.0,5.24,5.26,3.23,1778,1631.33,1506.11,18.05
0.42,Ideal,D,SI1,62.1,54.0,4.84,4.86,3.01,761,1075.68,890.72,-14.56
1.14,Ideal,D,VS1,59.8,57.0,6.83,6.74,4.06,9193,8769.79,9340.11,-1.58
0.59,Ideal,E,SI1,62.4,55.0,5.39,5.34,3.35,1789,1927.35,1688.5,5.95
0.39,Premium,J,VS2,61.3,60.0,4.65,4.68,2.86,581,634.17,596.1,-2.53
0.81,Ideal,I,VS2,61.8,56.0,6.02,5.99,3.71,2939,2961.18,2865.75,2.56
1.55,Premium,G,SI1,60.1,58.0,7.49,7.44,4.52,10980,10426.97,10691.42,2.7
0.32,Good,E,VS2,64.1,54.0,4.34,4.37,2.79,556,650.22,650.85,-14.57
1.2,Ideal,H,SI1,61.9,56.0,6.78,6.82,4.21,6578,6035.21,6278.12,4.78
1.13,Very Good,H,VS2,61.7,56.0,6.65,6.73,4.13,5625,5980.71,5994.87,-6.17
1.1,Ideal,J,SI2,62.0,59.0,6.58,6.61,4.09,4226,3336.35,3950.2,6.98
0.31,Ideal,D,VS2,62.0,55.0,4.33,4.35,2.69,734,704.49,733.4,0.08
1.0,Ideal,H,SI1,62.6,57.0,6.4,6.37,4.0,4469,4281.44,4655.84,-4.01
1.59,Ideal,G,VVS2,62.6,55.0,7.47,7.44,4.67,15823,15960.07,15601.78,1.42
0.31,Ideal,D,VVS2,60.9,57.0,4.38,4.42,2.68,777,866.16,860.76,-9.73
1.6,Ideal,J,SI1,62.2,55.0,7.46,7.53,4.66,8138,7977.2,8112.44,0.32
0.33,Ideal,F,VVS1,62.4,55.0,4.42,4.4,2.75,1021,946.49,1043.8,-2.18
1.1,Ideal,G,VS1,61.9,55.0,6.59,6.63,4.09,7528,6953.1,7609.73,-1.07
1.02,Very Good,F,IF,62.5,58.0,6.39,6.54,4.04,10967,8378.43,10560.29,3.85
0.57,Very Good,D,VS2,60.4,57.0,5.35,5.38,3.24,1651,2121.47,1930.34,-14.47
0.32,Ideal,F,IF,60.9,57.0,4.41,4.43,2.69,943,987.34,978.76,-3.65
1.06,Premium,F,SI2,62.0,59.0,6.57,6.52,4.06,4656,4621.76,4439.16,4.88
1.24,Ideal,D,SI1,60.4,57.0,6.95,7.02,4.22,8457,8261.19,8186.12,3.31
1.04,Premium,I,SI1,62.0,57.0,6.5,6.47,4.02,4368,3995.35,4222.2,3.45
1.63,Ideal,J,VS1,61.8,56.0,7.53,7.58,4.67,9819,10274.3,9605.57,2.22
1.05,Premium,H,SI2,63.0,59.0,6.48,6.44,4.07,4234,3886.56,4090.62,3.51
0.9,Premium,I,VS2,62.8,61.0,6.12,6.02,3.81,3246,3530.68,3190.04,1.75
1.11,Good,I,VS1,59.2,64.0,6.8,6.77,4.02,4817,5286.84,5065.28,-4.9
0.41,Very Good,F,SI1,62.9,56.0,4.71,4.73,2.97,755,892.49,752.27,0.36
1.63,Very Good,H,SI2,58.2,62.0,7.77,7.72,4.51,9504,8702.98,8787.5,8.15
0.6,Premium,E,SI1,61.9,58.0,5.39,5.43,3.35,1738,1945.06,1784.27,-2.59
0.53,Ideal,G,VS1,61.7,55.0,5.22,5.18,3.21,1727,1758.05,1744.68,-1.01
1.14,Ideal,F,VS1,61.7,55.0,6.68,6.71,4.13,9074,7960.58,8606.86,5.43
0.4,Premium,F,VS1,60.4,59.0,4.75,4.76,2.87,982,1083.12,964.96,1.77
0.77,Very Good,J,SI2,61.2,56.0,5.91,5.96,3.63,2001,1630.25,1973.84,1.38
0.89,Good,F,SI1,64.3,55.0,6.12,6.01,3.9,3663,3695.46,3441.26,6.44
1.01,Premium,E,VS2,60.9,58.0,6.53,6.47,3.96,7522,6016.8,6683.9,12.54
1.04,Premium,F,VS2,61.7,59.0,6.45,6.49,3.99,6782,6108.37,6594.24,2.85
2.03,Premium,H,SI1,61.7,59.0,8.17,8.1,5.02,16900,15880.01,16308.24,3.63
0.33,Ideal,E,VVS1,61.6,55.0,4.44,4.46,2.74,1130,985.12,948.6,19.12
0.52,Ideal,F,VS1,61.2,57.0,5.2,5.16,3.17,1872,1815.55,1865.94,0.32
1.02,Premium,F,SI2,63.0,58.0,6.44,6.38,4.04,4238,4298.82,4213.45,0.58
0.41,Very Good,F,SI1,63.2,59.0,4.72,4.68,2.97,969,892.49,858.72,12.84
1.2,Very Good,H,SI1,61.0,58.0,6.84,6.92,4.2,6019,5772.5,6568.32,-8.36
0.4,Very Good,F,SI1,63.3,58.0,4.72,4.69,2.98,882,851.94,854.45,3.22
0.47,Fair,G,SI1,58.4,60.0,5.16,5.12,3.0,1086,959.3,998.69,8.74
1.01,Very Good,H,SI1,61.9,57.0,6.36,6.41,3.95,4432,4172.53,4577.67,-3.18
0.33,Very Good,I,SI1,62.8,58.0,4.39,4.43,2.77,445,450.05,435.65,2.15
0.76,Premium,E,SI1,62.2,59.0,5.86,5.81,3.63,2814,3035.65,2753.06,2.21
0.38,Premium,J,VS1,62.1,60.0,4.64,4.6,2.87,770,647.34,728.54,5.69
0.3,Ideal,G,VVS2,60.9,57.0,4.35,4.32,2.64,878,690.53,828.24,6.01
0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,803,908.41,803.06,-0.01
1.08,Premium,G,VS1,62.7,56.0,6.55,6.52,4.1,6982,6567.53,6889.77,1.34
1.01,Good,D,SI1,64.1,60.0,6.3,6.27,4.03,4909,5165.96,5030.82,-2.42
0.35,Very Good,G,VVS2,62.8,58.0,4.44,4.48,2.8,798,882.92,748.81,6.57
0.72,Premium,F,VS1,62.2,58.0,5.75,5.7,3.56,2829,3276.19,2958.28,-4.37
0.31,Very Good,G,VVS2,62.1,56.0,4.27,4.33,2.67,707,702.54,621.48,13.76
0.57,Premium,G,VS1,61.0,57.0,5.4,5.35,3.28,1819,1971.34,1831.5,-0.68
0.34,Ideal,I,VS1,61.8,55.0,4.48,4.52,2.78,555,619.03,563.61,-1.53
0.8,Very Good,D,VS2,60.6,63.0,5.94,5.9,3.59,3419,4016.53,3398.4,0.61
0.53,Ideal,E,VS2,62.3,57.0,5.23,5.19,3.25,1956,1827.24,1741.44,12.32
0.3,Premium,E,VS2,62.3,58.0,4.32,4.28,2.68,844,611.81,830.76,1.59
0.31,Ideal,H,VVS2,62.6,56.0,4.37,4.32,2.72,802,673.08,800.32,0.21
0.7,Premium,D,VS1,61.6,60.0,5.63,5.6,3.46,3229,3422.75,2897.12,11.46
0.71,Very Good,E,SI2,62.7,59.0,5.7,5.75,3.59,2397,2212.51,2331.97,2.79
1.01,Ideal,G,VS1,62.1,54.0,6.41,6.43,3.99,7262,5920.68,6742.58,7.7
1.13,Premium,H,VS2,62.4,58.0,6.66,6.61,4.14,5885,6113.79,5718.15,2.92
0.5,Ideal,I,VVS2,60.5,57.0,5.14,5.17,3.12,1640,1467.79,1473.67,11.29
0.31,Ideal,F,VVS1,62.0,55.0,4.34,4.37,2.7,828,841.37,855.77,-3.25
1.07,Premium,F,SI1,61.7,58.0,6.58,6.62,4.07,4597,5554.44,5440.1,-15.5
0.37,Premium,H,VS2,59.5,61.0,4.67,4.64,2.77,749,746.9,712.89,5.07
0.36,Ideal,G,SI1,62.7,55.0,4.59,4.54,2.86,689,682.37,728.45,-5.42
0.34,Ideal,E,VVS1,62.3,56.0,4.45,4.48,2.78,1014,1042.09,963.84,5.2
1.01,Good,F,SI2,64.9,60.0,6.2,6.25,4.04,4140,3971.48,3949.53,4.82
0.47,Ideal,I,VS2,62.1,54.0,4.99,5.03,3.11,884,1062.52,945.49,-6.5
0.3,Ideal,G,IF,61.8,55.0,4.33,4.35,2.68,813,816.83,873.26,-6.9
0.59,Very Good,H,SI1,61.8,56.0,5.39,5.43,3.35,1239,1516.23,1416.19,-12.51
0.31,Ideal,D,VS2,62.5,56.0,4.36,4.34,2.72,942,704.49,889.31,5.92
0.7,Ideal,I,SI1,62.1,58.0,5.68,5.72,3.54,2083,1938.93,2154.45,-3.32
0.54,Premium,E,SI1,59.5,61.0,5.31,5.28,3.15,1356,1595.03,1494.97,-9.3
0.3,Very Good,I,SI1,63.4,57.0,4.25,4.23,2.69,506,376.11,516.18,-1.97
1.7,Ideal,G,VVS1,61.0,56.0,7.67,7.62,4.66,18445,19371.78,16813.27,9.71
0.36,Premium,F,SI1,60.3,58.0,4.65,4.6,2.79,770,714.17,767.65,0.31
0.39,Very Good,E,VS2,60.0,56.0,4.76,4.81,2.87,808,980.9,873.3,-7.48
0.32,Ideal,G,IF,61.9,54.0,4.4,4.42,2.73,918,922.38,896.43,2.41
0.31,Very Good,H,VVS1,61.3,56.0,4.35,4.38,2.67,651,688.92,684.95,-4.96
1.0,Ideal,F,VVS2,61.9,57.0,6.47,6.42,3.99,9354,7134.26,8610.55,8.63
0.76,Ideal,E,SI1,61.7,57.0,5.88,5.85,3.62,2814,3104.72,2900.88,-2.99
0.33,Ideal,E,VS1,60.0,57.0,4.47,4.5,2.69,625,802.61,758.58,-17.61
0.42,Ideal,F,SI1,61.6,56.0,4.83,4.81,2.97,886,976.42,900.6,-1.62
0.32,Ideal,H,IF,61.1,56.0,4.45,4.48,2.73,814,845.24,855.38,-4.84
1.22,Premium,F,VVS1,61.9,58.0,6.81,6.85,4.23,11723,10854.93,11851.75,-1.09
1.11,Very Good,E,SI1,62.4,57.0,6.58,6.6,4.11,6563,6060.03,5595.44,17.29
1.01,Premium,F,VS2,59.2,60.0,6.51,6.54,3.86,6416,5780.8,6334.78,1.28
0.33,Very Good,D,SI1,60.0,59.0,4.47,4.5,2.69,608,653.33,590.43,2.98
1.17,Ideal,H,SI2,62.3,57.0,6.78,6.74,4.21,5111,4873.41,4771.16,7.12
1.57,Ideal,G,SI2,62.0,56.0,7.44,7.47,4.62,8643,9252.5,9177.75,-5.83
0.53,Premium,E,VS2,61.4,58.0,5.24,5.19,3.2,1579,1786.59,1741.11,-9.31
2.03,Premium,E,SI2,61.5,59.0,8.24,8.16,5.04,18477,16351.72,15970.85,15.69
2.12,Premium,I,VS2,61.5,58.0,8.3,8.26,5.09,17254,17722.69,16293.13,5.9
0.34,Ideal,F,VS1,60.9,57.0,4.53,4.56,2.77,723,815.72,763.8,-5.34
0.4,Good,G,VS1,59.6,61.0,4.82,4.85,2.88,952,952.32,886.8,7.35
0.45,Ideal,J,VS2,61.4,55.0,4.94,4.97,3.04,672,849.19,809.36,-16.97
1.54,Ideal,G,VS2,60.8,57.0,7.44,7.46,4.53,15395,12222.98,13335.11,15.45
0.5,Fair,G,VS1,60.3,66.0,5.13,5.09,3.08,1327,1340.5,1574.75,-15.73
0.73,Ideal,G,VS1,60.2,56.0,5.86,5.9,3.54,3273,3212.65,3218.54,1.69
0.36,Good,H,SI1,63.6,57.0,4.53,4.49,2.87,665,575.4,629.0,5.72
1.57,Ideal,J,SI1,62.4,57.0,7.51,7.4,4.65,8221,7697.88,7415.5,10.86
1.01,Fair,F,VS1,64.6,60.0,6.26,6.16,4.01,6366,5392.83,5785.43,10.04
0.3,Very Good,G,VVS2,63.0,57.0,4.28,4.32,2.71,684,660.47,658.12,3.93
0.3,Ideal,H,VS1,62.1,57.0,4.27,4.3,2.66,507,551.69,538.17,-5.79
0.32,Ideal,D,VS2,62.0,55.0,4.37,4.41,2.72,758,747.89,749.52,1.13
0.92,Very Good,H,VS1,59.7,63.0,6.34,6.29,3.77,4721,4352.94,4255.22,10.95
0.71,Ideal,I,VS2,61.0,58.0,5.77,5.81,3.53,2141,2310.49,2462.73,-13.06
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4037,4179.46,4252.04,-5.06
1.17,Good,G,VS1,60.0,64.0,6.82,6.77,4.08,7972,7186.56,7089.59,12.45
0.53,Ideal,E,VS2,61.8,55.0,5.21,5.24,3.23,2163,1827.24,1756.82,23.12
1.14,Very Good,F,SI1,61.3,62.0,6.71,6.77,4.13,6194,6122.19,5814.01,6.54
0.3,Ideal,G,SI2,62.1,58.0,4.27,4.3,2.66,422,409.98,418.27,0.89
0.51,Very Good,E,SI1,60.8,55.0,5.17,5.2,3.15,1318,1401.1,1406.82,-6.31
0.5,Ideal,F,VS1,62.5,52.4,5.07,5.11,3.18,1679,1686.3,1674.22,0.29
0.55,Premium,E,VS2,61.1,58.0,5.3,5.28,3.23,2030,1915.65,1807.57,12.31
0.41,Good,G,SI1,64.2,57.0,4.67,4.71,3.01,739,802.17,676.36,9.26
0.47,Very Good,D,VS1,59.5,61.0,5.06,5.03,3.02,1422,1581.43,1442.66,-1.43
1.01,Ideal,E,VVS1,62.0,57.0,6.39,6.45,3.98,10954,8096.41,11535.32,-5.04
0.42,Ideal,G,VS2,60.8,57.0,4.82,4.85,2.94,847,1058.34,918.89,-7.82
0.3,Good,G,VS1,63.1,58.0,4.24,4.28,2.69,605,554.01,558.73,8.28
1.51,Good,E,SI1,62.8,59.0,7.16,7.2,4.51,11487,10408.06,10530.61,9.08
0.31,Ideal,E,VS2,60.8,54.0,4.4,4.39,2.67,872,665.59,767.72,13.58
0.72,Premium,D,VS1,62.7,56.0,5.76,5.69,3.59,3601,3609.22,3356.51,7.28
0.58,Very Good,E,VS1,61.8,55.0,5.35,5.39,3.32,2082,2220.04,2105.12,-1.1
0.7,Very Good,E,SI1,60.3,60.0,5.77,5.81,3.49,2312,2543.55,2624.46,-11.91
0.4,Premium,H,SI1,62.1,62.0,4.73,4.7,2.93,855,745.55,783.55,9.12
0.5,Premium,E,SI1,61.5,62.0,5.09,5.06,3.12,1415,1379.85,1356.72,4.3
0.92,Very Good,H,VS2,63.1,57.0,6.2,6.17,3.9,4173,4060.82,3993.86,4.49
1.01,Very Good,E,VVS1,61.6,58.0,6.45,6.57,4.01,10693,7743.98,10740.92,-0.45
0.5,Very Good,D,VS1,62.3,60.0,5.07,5.1,3.17,1804,1776.85,1883.45,-4.22
0.32,Ideal,F,VS1,61.6,57.0,4.39,4.42,2.71,716,727.71,685.62,4.43
1.04,Very Good,F,VS1,63.0,56.0,6.45,6.5,4.08,7207,6405.25,7235.6,-0.4
0.77,Ideal,F,VS2,61.2,57.0,5.93,5.97,3.64,3052,3547.13,3487.36,-12.48
1.29,Premium,I,SI1,61.8,59.0,6.99,6.96,4.31,6429,5994.14,5641.28,13.96
1.01,Very Good,G,VVS2,63.2,59.0,6.35,6.27,3.99,7267,6495.34,6418.49,13.22
0.31,Ideal,E,IF,62.2,53.0,4.35,4.4,2.72,958,968.01,1041.28,-8.0
1.15,Very Good,H,VS2,60.3,59.0,6.75,6.79,4.08,5831,6181.6,6068.87,-3.92
1.19,Ideal,E,SI2,60.2,57.0,6.84,6.87,4.13,5717,6117.33,5644.08,1.29
1.65,Fair,J,SI1,61.6,66.0,7.61,7.47,4.66,5914,7192.92,7356.42,-19.61
1.0,Fair,H,SI2,66.1,59.0,6.18,6.13,4.07,3472,3085.5,3149.65,10.23
0.7,Premium,G,VVS2,61.8,58.0,5.67,5.63,3.49,2874,3329.15,2586.21,11.13
0.59,Premium,D,SI1,62.8,57.0,5.38,5.32,3.36,1835,1994.6,1832.11,0.16
0.81,Ideal,H,SI1,62.3,58.0,5.95,5.96,3.71,2951,2879.14,2914.63,1.25
0.92,Ideal,F,SI2,62.0,54.0,6.26,6.32,3.9,4065,3620.23,3904.51,4.11
1.52,Premium,F,VS2,62.2,58.0,7.38,7.29,4.56,12985,12481.65,13682.71,-5.1
0.32,Very Good,G,VS2,60.9,58.0,4.42,4.45,2.7,564,606.61,551.82,2.21
0.7,Ideal,H,SI2,61.8,57.0,5.67,5.72,3.52,2298,1852.45,2068.93,11.07
1.0,Premium,I,SI2,62.5,56.0,6.38,6.3,3.96,3780,3142.87,3465.16,9.09
1.54,Good,E,SI1,63.8,57.0,7.31,7.34,4.67,12779,10800.86,11601.38,10.15
0.56,Ideal,F,SI1,61.5,55.0,5.32,5.35,3.28,1365,1678.44,1504.58,-9.28
0.91,Very Good,E,SI2,62.8,59.0,6.13,6.16,3.86,3968,3530.59,3809.5,4.16
0.29,Good,F,IF,56.8,65.0,4.37,4.4,2.49,633,754.84,905.11,-30.06
0.41,Premium,E,SI2,61.3,57.0,4.83,4.79,2.95,876,804.24,808.02,8.41
0.41,Ideal,G,SI1,61.6,55.0,4.81,4.84,2.97,964,871.72,812.8,18.6
1.2,Ideal,H,SI1,61.1,56.0,6.92,6.87,4.21,6968,6035.21,6644.66,4.87
0.72,Premium,D,SI1,62.7,59.0,5.73,5.69,3.58,2782,2902.04,2759.27,0.82
2.01,Very Good,J,VS2,62.1,60.0,7.88,8.0,4.93,12683,13602.83,13498.41,-6.04
1.25,Very Good,F,SI2,58.0,63.0,7.16,7.06,4.13,5851,6167.14,5456.54,7.23
0.39,Ideal,H,VVS2,62.1,54.3,4.63,4.69,2.9,853,1037.08,846.66,0.75
0.34,Ideal,D,SI1,60.4,57.0,4.53,4.51,2.73,803,722.56,766.38,4.78
0.53,Good,E,VS2,63.7,55.0,5.12,5.15,3.27,1607,1681.45,1627.13,-1.24
1.0,Good,H,VVS2,63.7,52.0,6.41,6.36,4.07,6194,5620.16,6224.02,-0.48
0.35,Ideal,E,VS2,62.5,55.0,4.52,4.5,2.82,984,836.48,877.14,12.18
1.52,Premium,I,VS2,62.6,59.0,7.34,7.19,4.55,9108,9472.03,8255.55,10.33
0.59,Ideal,D,SI1,61.8,56.0,5.4,5.37,3.33,1912,2039.98,1814.17,5.39
0.23,Ideal,G,VS1,61.6,55.0,3.96,3.99,2.45,384,365.03,436.6,-12.05
0.42,Premium,G,VS2,59.5,59.0,4.83,4.89,2.89,847,1034.79,886.9,-4.5
0.81,Very Good,J,SI1,63.1,59.0,5.88,5.91,3.72,2482,2117.51,2237.6,10.92
0.42,Ideal,F,VVS2,60.6,57.0,4.82,4.85,2.93,1142,1392.86,1161.18,-1.65
0.71,Very Good,H,SI2,61.8,58.0,5.67,5.73,3.52,2141,1819.78,2057.06,4.08
0.43,Premium,F,SI1,61.3,60.0,4.86,4.83,2.97,1016,997.95,940.65,8.01
1.2,Ideal,G,SI2,62.2,56.0,6.74,6.84,4.22,5385,5577.92,5633.74,-4.42
0.41,Premium,E,SI1,60.4,58.0,4.79,4.75,2.88,930,949.59,938.23,-0.88
0.58,Premium,F,VS2,62.4,55.0,5.38,5.36,3.35,1869,2034.1,1850.55,1.0
0.71,Ideal,E,VS2,61.1,56.0,5.77,5.79,3.53,3342,3168.91,3329.27,0.38
1.01,Very Good,H,VS1,63.5,56.0,6.32,6.27,4.0,4412,5189.3,4921.53,-10.35
0.71,Ideal,I,VVS2,62.4,54.0,5.72,5.75,3.58,2308,2840.74,2519.02,-8.38
0.7,Ideal,E,SI1,60.1,57.0,5.78,5.83,3.49,2929,2659.31,2741.67,6.83
1.54,Very Good,G,IF,59.4,60.0,7.55,7.61,4.5,15444,17002.93,15049.58,2.62
0.34,Ideal,E,VS1,62.0,56.0,4.48,4.52,2.79,805,849.02,815.98,-1.35
0.56,Ideal,G,IF,62.0,54.0,5.3,5.32,3.29,2321,2645.85,2320.89,0.0
0.32,Very Good,G,SI2,60.7,61.0,4.42,4.47,2.7,388,442.8,418.76,-7.35
1.01,Very Good,D,VS2,62.2,61.0,6.37,6.43,3.98,6905,6229.81,7049.44,-2.05
